system:index,B11,B2,B2_log,B3,B3_log,B4,B8,B8A,BGR,MNDWI,NDWI,Name,VH,VV,VV_VH_ratio,month,poly_area_m2,s1_datetime_utc,s1_day_diff,s2_datetime_utc,s2_day_diff,sizeClass,waterType,.geo
000000000000000015c1,343.0,476.0,6.16541785633226,654.0,6.48310735298625,536.0,623.0,462.0,-0.1575221237544052,0.3119358071093924,0.024275646026409047,96W20012019,-29.658042449982133,-22.54338401619104,7.114658433791092,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c2,744.0,446.0,6.1003189542622165,658.0,6.489204932845074,526.0,711.0,952.0,-0.19202898533330706,-0.06134094146837307,-0.03871439003746209,96W20012019,-20.08988959643161,-16.662081221802467,3.4278083746291443,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c3,1029.0,483.0,6.180016655722966,659.0,6.490723536019958,536.0,692.0,1302.0,-0.15411558655506516,-0.21919431266635406,-0.024426350833141115,96W20012019,-19.35557776897104,-11.13609807056318,8.219479698407861,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c4,378.0,476.0,6.16541785633226,660.0,6.492239836535623,532.0,677.0,443.0,-0.16197183084333464,0.27167630031630413,-0.01271503364793191,96W20012019,-23.843860644872663,-18.63822024489712,5.205640399975543,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c5,807.0,520.0,6.25382881349855,690.0,6.53669159904058,574.0,656.0,1007.0,-0.14049586765248273,-0.07815631257304187,0.02526002969891528,96W20012019,-21.08227781020592,-14.92305527719884,6.15922253300708,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c6,654.0,450.0,6.109247584986588,602.0,6.400257446969951,488.0,558.0,911.0,-0.14448669187786434,-0.04140127385238752,0.03793103445005945,96W20012019,-18.826072849556688,-15.50521088519049,3.3208619643661983,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c7,387.0,502.0,6.218600121683761,645.0,6.46925031834616,514.0,636.0,575.0,-0.12467306004823621,0.24999999975775192,0.007025761118637188,96W20012019,-22.481447237585886,-12.909605948898584,9.571841288687303,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c8,350.0,522.0,6.257667589798348,626.0,6.439350372697542,532.0,608.0,470.0,-0.09059233441586033,0.282786884956161,0.014586709874727138,96W20012019,-24.74484226051533,-22.60105755799109,2.14378470252424,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c9,343.0,447.0,6.102558596850705,619.0,6.428105274300105,542.0,588.0,462.0,-0.1613508441263125,0.2869022866040517,0.02568351282047762,96W20012019,-26.748143252517224,-17.693253728095964,9.05488952442126,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ca,352.0,429.0,6.061456921259019,662.0,6.495265557447582,542.0,612.0,426.0,-0.2135655360095641,0.30571992080303756,0.039246467787090684,96W20012019,-18.6839574311362,-14.278860001946844,4.405097429189356,1,4957.115108662909,2019-01-16 00:04:11,3.997094907407408,2019-01-20 04:52:14,0.2029484027777778,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
